[07-Jun-2022 15:35:51 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/get-order-details-subscription-bo.php on line 44
[07-Jun-2022 15:35:51 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/get-order-details-subscription-bo.php on line 45
[07-Jun-2022 15:35:51 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/get-order-details-subscription-bo.php on line 46
[07-Jun-2022 15:35:51 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/get-order-details-subscription-bo.php on line 130
[07-Jun-2022 15:35:51 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/get-order-details-subscription-bo.php on line 132
[07-Jun-2022 15:35:51 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/get-order-details-subscription-bo.php on line 133
[07-Jun-2022 15:35:54 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/get-order-details-subscription-bo.php on line 44
[07-Jun-2022 15:35:54 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/get-order-details-subscription-bo.php on line 45
[07-Jun-2022 15:35:54 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/get-order-details-subscription-bo.php on line 46
[07-Jun-2022 15:35:54 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/get-order-details-subscription-bo.php on line 130
[07-Jun-2022 15:35:54 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/get-order-details-subscription-bo.php on line 132
[07-Jun-2022 15:35:54 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/get-order-details-subscription-bo.php on line 133
[07-Jun-2022 15:36:48 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/get-order-details-subscription-bo.php on line 44
